TITLE: Bill of Materials
BOM NO: 05-058924-01-a.csv
DATE: 09/10/2020
DESIGN: 02_058924a_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: 

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_058924b,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_058924b,N/A,?,?,?,?,?,?,?
2,2,E023045,"CAP CER C0G(NP0), GENERAL PURPOSE"," 100pF",C0201,5,50V,N/A,"C1,C13",MURATA," GRM0335C1H101JA01D",REL,N/A,N/A,N/A,N/A,N/A,?,?
3,3,E007203,CAP CER CHIP X8R," 0.01UF",C0402,10,25V,N/A,"C3,C7,C10",TDK," C1005X8R1E103K",REL,A004-0011-086,40302JH399,N/A,N/A,7001959,?,?
4,3,E007143,"CAP CER X5R, GENERAL PURPOSE"," 10uF",C0603,20,6.3V,N/A,"C2,C6,C11",MURATA," GRM188R60J106ME47D",REL,N/A,40302JH499,N/A,1244_BIN1-2A,N/A,?,?
5,1,E026830,CAP CER C0G," 8PF",C0402,0.5PF,16V,N/A,C12,AVX CORPORATION," 0402YA8R0DAT2A",REL,N/A,N/A,N/A,N/A,7008704,?,?
6,1,E011567,"CAP CER X5R, GENERAL PURPOSE"," 0.1uF",C0201,10,6.3V,N/A,C14,MURATA," GRM033R60J104KE19D",REL,N/A,40302JH901,N/A,1646_CAB3,N/A,?,?
7,1,E028092,CAP MULTILAYER CER CHIP X6S," 47UF",C1206H71,20,10V,N/A,C15,TDK," C3216X6S1A476M160AC",REL,N/A,N/A,N/A,N/A,N/A,?,?
8,3,E033336,"CAP CER X7R, AUTOMOTIVE GRADE"," 0.1UF",C0805H53,10,50V,N/A,"C16,C17,C18",AVX CORPORATION," 08055C104K4T4A",REL,N/A,N/A,N/A,N/A,N/A,?,?
9,1,E025752,"CAP MULTILAYER CER CHIP, X7R"," 4.7UF",C0805H53,10,25V,N/A,C19,TDK," C2012X7R1E475K125AB",REL,N/A,N/A,N/A,N/A,N/A,?,?
10,3,E033832,"CAP CER 1UF 25V 10% X7R 0603, AUTOMOTIVE"," 1UF",C0603,10,25V,N/A,"C20,C21,C23",MURATA," GCM188R71E105KA64D",REL,N/A,N/A,N/A,N/A,N/A,?,?
11,1,E016591,"CAP CER X5R, GENERAL PURPOSE"," 100uF",C1206H71,20,6.3V,N/A,C22,MURATA," GRM31CR60J107ME39L",REL,N/A,N/A,N/A,N/A,7002429,?,?
12,3,E024302,"CAP MONO CER CHIP FOR AUTOMOTIVE, C0G"," 100pF",C0402,5,50V,N/A,"C4,C8,C9",MURATA," GCM1555C1H101JA16D",REL,N/A,N/A,N/A,N/A,7000684,?,?
13,1,E022849,"CAP CER C0G(NP0), GENERAL PURPOSE"," 10pF",C0201,5,25V,N/A,C5,MURATA," GRM0335C1E100JA01D",REL,N/A,N/A,N/A,N/A,N/A,?,?
14,1,E001108,DIODE SURFACE MOUNT TRAN VOLT SUP," SMAJ5.0A-13-F",DIOSMJ5_0,N/A,5V,N/A,D1,DIODE INCORP," SMAJ5.0A-13-F",REL,N/A,N/A,N/A,N/A,N/A,?,?
15,1,E037111,"LED RED DIFFUSED AIGAINP, 620NM"," SML-D12U1WT86",LED0603_A,N/A,2.2V,N/A,DS1,ROHM," SML-D12U1WT86",REL,N/A,N/A,N/A,N/A,N/A,?,?
16,1,E033001,"LED GREEN 574NM 35MCS, WATER CLEAR LENS"," LTST-C191KGKT",LED0603_A,N/A,2V,3/40W,DS2,LITE-ON TECHNOLOGY," LTST-C191KGKT",REL,N/A,N/A,N/A,N/A,7003950,?,?
17,1,E028908,"IND FERRITE BEAD, 0.150OHM MAX DCR, 1A"," 600OHM AT 100MEGHZ",L0603,25,N/A,N/A,E1,TDK," MPZ1608S601ATA00",REL,N/A,N/A,N/A,N/A,N/A,?,?
18,1,E029797,FLTR SAW 3.3DB 50OHM," 915MEGHZ",DCC6C,N/A,N/A,N/A,FL1,TDK," B39921B3588U410",REL,N/A,N/A,N/A,N/A,N/A,?,?
19,1,E033180,"CONN-PCB RCPT PLUG SMA END LAUNCH, 50OHM/18GHZ, ALT SYMBOL FOR COMBO FOOTPRINT WITH EG-413227-0074 "," 132365-10",CNSMARAL686W375H177,N/A,N/A,N/A,J1,AMPHENOL," 132365-10",REL,N/A,N/A,N/A,N/A,N/A,?,?
20,1,E028678,"CONN-PCB EDGE SMA SMALL VERSION, 50OHM IMPEDANCE, 18GHZ MAX FREQUENCY"," CON-SMA-EDGE-S",CNSMARAL525W250H148,N/A,N/A,N/A,J2,RF SOLUTIONS," CON-SMA-EDGE-S",REL,N/A,N/A,N/A,N/A,N/A,?,?
